variant,collection_date,subm_date,region,country,province ,lineages,date_2weeks
DENV-1,2019/04/15,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/15
DENV-1,2019/04/13,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/13
DENV-1,2019/04/15,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/15
DENV-1,2019/04/16,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/16
DENV-1,2019/04/13,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/13
DENV-1,2019/03/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/03/05
DENV-1,2019/03/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/03/05
DENV-1,2019/06/25,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/06/25
DENV-1,2019/06/25,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/06/25
DENV-1,2019/06/25,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/06/25
DENV-1,2019/06/18,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/06/18
DENV-1,2019/05/06,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/05/06
DENV-1,2019/07/06,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/06
DENV-1,2019/07/06,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/06
DENV-1,2019/07/06,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/06
DENV-1,2019/07/06,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/06
DENV-1,2019/07/06,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/06
DENV-1,2019/07/06,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/06
DENV-1,2019/07/06,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/06
DENV-1,2019/07/06,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/06
DENV-1,2019/07/06,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/06
DENV-1,2019/07/06,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/06
DENV-1,2019/04/14,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/14
DENV-1,2019/04/14,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/14
DENV-1,2019/09/04,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/09/04
DENV-1,2019/09/04,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/09/04
DENV-1,2019/03/23,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/03/23
DENV-1,2019/09/04,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/09/04
DENV-1,2019/03/31,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/03/31
DENV-1,2019/08/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/08/05
DENV-1,2019/08/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/08/05
DENV-1,2019/08/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/08/05
DENV-1,2019/08/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/08/05
DENV-1,2019/08/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/08/05
DENV-1,2019/08/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/08/05
DENV-1,2019/08/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/08/05
DENV-1,2019/08/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/08/05
DENV-1,2019/08/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/08/05
DENV-1,2019/08/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/08/05
DENV-1,2019/08/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/08/05
DENV-1,2019/08/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/08/05
DENV-1,2019/08/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/08/05
DENV-1,2019/08/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/08/05
DENV-1,2019/08/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/08/05
DENV-1,2019/08/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/08/05
DENV-1,2019/08/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/08/05
DENV-1,2019/08/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/08/05
DENV-1,2019/08/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/08/05
DENV-1,2019/08/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/08/05
DENV-1,2019/08/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/08/05
DENV-1,2019/02/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/02/05
DENV-1,2019/02/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/02/05
DENV-1,2019/01/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/01/05
DENV-1,2019/04/26,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/26
DENV-1,2019/04/24,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/24
DENV-1,2019/04/22,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/22
DENV-1,2019/04/18,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/18
DENV-1,2019/04/15,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/15
DENV-1,2019/04/17,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/17
DENV-1,2019/04/15,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/15
DENV-1,2019/04/15,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/15
DENV-1,2019/04/15,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/15
DENV-1,2019/04/15,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/15
DENV-1,2019/04/15,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/15
DENV-1,2019/04/15,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/15
DENV-1,2019/08/04,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/08/04
DENV-1,2019/08/04,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/08/04
DENV-1,2019/06/21,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/06/21
DENV-1 Genotype I,2019/06/28,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/06/28
DENV-1,2019/06/19,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/06/19
DENV-1,2019/06/15,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/06/15
DENV-1,2019/06/20,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/06/20
DENV-1,2019/10/06,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/10/06
DENV-1,2019/10/06,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/10/06
DENV-1,2019/08/06,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/08/06
DENV-1,2019/05/06,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/05/06
DENV-1,2019/05/26,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/05/26
DENV-1,2019/05/20,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/05/20
DENV-1,2019/05/26,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/05/26
DENV-1,2019/06/15,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/06/15
DENV-1,2019/05/20,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/05/20
DENV-1,2019/05/17,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/05/17
DENV-1,2019/06/14,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/06/14
DENV-1,2019/06/15,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/06/15
DENV-1,2019/06/13,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/06/13
DENV-1,2019/06/13,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/06/13
DENV-1,2019/06/13,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/06/13
DENV-1,2019/10/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/10/05
DENV-1,2019/09/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/09/05
DENV-1,2019/08/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/08/05
DENV-1,2019/06/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/06/05
DENV-1,2019/07/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/05
DENV-1,2019/04/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/05
DENV-1,2019/04/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/05
DENV-1,2019/03/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/03/05
DENV-1,2019/03/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/03/05
DENV-1,2019/02/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/02/05
DENV-1,2019/02/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/02/05
DENV-1,2019/02/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/02/05
DENV-1,2019/04/29,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/29
DENV-1,2019/04/29,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/29
DENV-1,2019/04/29,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/29
DENV-1,2019/04/29,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/29
DENV-1,2019/04/28,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/28
DENV-1,2019/04/28,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/28
DENV-1,2019/04/28,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/28
DENV-1,2019/04/28,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/28
DENV-1,2019/04/27,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/27
DENV-1,2019/04/27,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/27
DENV-1,2019/04/27,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/27
DENV-1,2019/04/27,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/27
DENV-1,2019/04/27,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/27
DENV-1,2019/04/27,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/27
DENV-1,2019/04/25,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/25
DENV-1,2019/04/25,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/25
DENV-1,2019/04/25,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/25
DENV-1,2019/04/25,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/25
DENV-1,2019/04/25,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/25
DENV-1,2019/04/23,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/23
DENV-1,2019/04/23,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/23
DENV-1,2019/04/22,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/22
DENV-1,2019/04/22,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/22
DENV-1,2019/04/22,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/22
DENV-1,2019/04/22,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/22
DENV-1,2019/04/22,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/22
DENV-1,2019/04/22,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/22
DENV-1,2019/04/22,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/22
DENV-1,2019/04/20,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/20
DENV-1,2019/04/19,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/19
DENV-1,2019/04/19,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/19
DENV-1,2019/04/17,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/17
DENV-1,2019/04/17,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/17
DENV-1,2019/04/17,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/17
DENV-1,2019/04/15,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/15
DENV-1,2019/04/16,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/16
DENV-1,2019/04/15,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/15
DENV-1,2019/04/14,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/04/14
DENV-1,2019/12/04,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/12/04
DENV-1,2019/11/04,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/11/04
DENV-1,2019/10/04,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/10/04
DENV-1,2019/07/04,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/04
DENV-1,2019/07/04,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/04
DENV-1,2019/05/04,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/05/04
DENV-1,2019/03/20,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/03/20
DENV-1,2019/03/04,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/03/04
DENV-1,2019/01/04,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/01/04
DENV-1,2019/03/29,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/03/29
DENV-1,2019/03/29,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/03/29
DENV-1,2019/07/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/05
DENV-1,2019/07/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/05
DENV-1,2019/07/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/05
DENV-1,2019/07/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/05
DENV-1,2019/07/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/05
DENV-1,2019/07/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/05
DENV-1,2019/07/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/05
DENV-1,2019/07/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/05
DENV-1,2019/07/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/05
DENV-1,2019/07/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/05
DENV-1,2019/07/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/05
DENV-1,2019/07/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/05
DENV-1,2019/07/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/05
DENV-1,2019/07/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/05
DENV-1,2019/07/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/05
DENV-1,2019/07/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/05
DENV-1,2019/07/05,2023-04-19T00:00:00Z,Africa,Tanzania,,DENV-1,2019/07/05
